"reviewer","date_reviewed","star_rating","message","order_id"
"Shaf","05/29/2020","5","Came safely and looks just as good if not better in person. Can't wait to give this to my gamer nephew!","1596984696"
"Ellie","05/29/2020","5","This card is so cute! He print quality is great and the paper was very easy to write on. I've already placed an order for a bunch more cards to stock up for future holidays and birthdays for friends and family. Thank you!","1630295690"
"Star-Lord","05/29/2020","5","","1638973116"
"Ria","05/28/2020","5","Love this card! Thank you!","1649303614"
"kimberlygrahn","05/28/2020","5","","1578872704"
"Morgan","05/28/2020","5","Adorable, and quick shipping! Thank you!","1650388617"
"Jaclyn","05/27/2020","5","","1646249268"
"Aaron","05/27/2020","5","Exactly as advertised. My wife had a giggle as the kids presented it while we were eating edamame. Cheers.","1618315731"
"Noreen","05/26/2020","5","","1652613681"
"Molly","05/25/2020","5","Card is cute & arrived timely. Thank you!","1637172379"
"Abigael","05/25/2020","5","Super fast shipping and such a cute card!","1639761988"
"TaraCharisma","05/24/2020","5","Such a cute card and I'm so happy to shop from a small business that also gives back to an important cause! Thank you!","1628541490"
"katekim77","05/23/2020","5","","1632000846"
"Vivian","05/21/2020","5","","1645174821"
"Lyla","05/21/2020","5","","1633028211"
"Michael","05/21/2020","5","","1630756108"
"abigail","05/21/2020","5","Super cute! My mom loved it!!! Thank you :)","1622126124"
"Isabel","05/20/2020","5","Love these bookmarks!\nSo cute ❤️","1631985600"
"Casey","05/20/2020","5","My Mom really enjoyed it when she received it.  It had room for a personal message on the inside.","1623183298"
"Natasha","05/20/2020","4","The card was a bit ripped when it arrived, but it was very cute and I was able to fix it up a bit with some Scotch tape. Overall pleased with the purchase.","1627863454"
"Taylor","05/20/2020","5","","1625143670"
"Jane","05/20/2020","5","","1639747173"
"Rebekah","05/19/2020","5","","1627723506"
"Sasha","05/19/2020","5","I’m so happy to have a hockey themed card for my husband’s first Father’s Day! So cute, a good price, and it was shipped so quickly! I will definitely be buying more from this shop.","1625484026"
"Dana","05/18/2020","5","","1628361186"
"Tia","05/18/2020","5","Love it so much!! Thank you 😉","1637564805"
"aurora132001","05/18/2020","5","Beautiful cards! Thank you!","1622426350"
"Liz","05/18/2020","5","","1640315983"
"Joanna","05/18/2020","5","My mom loved it! It was nice having a blank inside so I could write my own message in there.","1622796488"
"Jason","05/17/2020","5","Super speedy delivery and well made!","1636591104"
"jbleadorn74","05/17/2020","5","Excellent Mother's Day card!  Very fast shipping","1617077484"
"Katie","05/17/2020","5","","1647930577"
"Erin","05/17/2020","5","","1621271084"
"Ella","05/16/2020","5","","1612946560"
"Pat","05/14/2020","5","","1620919073"
"Pat","05/14/2020","5","","1620919073"
"Courtney","05/14/2020","5","Sweetest cards! Thank you!","1628093924"
"Heather","05/14/2020","5","","1622994460"
"Kaitlin","05/14/2020","5","This card is super cute, and arrived in plenty of time for me to send it to my mom!","1628278399"
"tmv1","05/14/2020","5","Exactly as pictured. Would buy again.","1632944269"
"James","05/14/2020","5","Loved the card.  High quality paper. My mom loved it too.","1616050306"
"Mareale","05/14/2020","5","Super cute cards!! Love them. Will be ordering more!","1625715972"
"Tara","05/14/2020","5","Super cute! My Mother loved it!","1617576840"
"Kendra","05/14/2020","5","","1627277504"
"Kaelyn","05/13/2020","5","","1623968252"
"Erin","05/13/2020","5","These cards are so cute and it was fun to give them for mother's day.","1622308694"
"Jacqueline","05/13/2020","5","perfect for my ""pop"", quick delivery!","1624329932"
"Jan","05/13/2020","5","Sweet, perfect card & for a good cause.","1624731647"
"Amanda","05/12/2020","5","","1631555139"
"Adie","05/12/2020","5","","1623521221"
"Birdygirl","05/12/2020","5","Great card so pleased!!! Hope to find more soon :)","1627528703"
"skylenekeyser","05/12/2020","5","Not shipped in a timely manner. I ordered well in advance and did not receive the card in time for the birthday it was ordered for. The card is very good quality. The shop also refunded my money for the card since I didn’t receive it in time.","1624090045"
"Ann","05/11/2020","5","","1631338115"
"Gianna","05/11/2020","5","","1588032248"
"Alexa","05/11/2020","5","Super fun card and a cool cause! Thank you!!","1619800098"
"marenhop","05/11/2020","5","Very cute and quick delivery!","1618241585"
"Mandy","05/10/2020","5","A really lovely card and cute design. Everything went perfectly well. Thank you so much for the good communication. :)","1582093864"
"jillianpahren","05/10/2020","5","Really cute card.  Nice packaging.  Thanks!","1609768334"
